위험순위 ,시설명/주소지,중심점 위치,,반경범위
,,경도,위도,
1,오산주공아파트 일대,127.073814E,37.141594N,50m
2,토이플러스 앞 사거리 일대(경기도 오산시 대원동 507-18),127.072719E,37.136181N,50m
3,롯데마트사거리 일대,127.073774E,37.148805N,50m
4,시청앞교차로 일대,127.078278E,37.148821N,50m
5,남촌오거리일대,127.061382E,37.149661N,50m
6, 홈플러스 일대,127.061262E,37.170393N,50m
7,"올리브영,신한은행 일대(경기 오산시 성호대로 121)",127.074900E,37.148809N,50m
8,타이어뱅크 일대,127.072607E,37.156012N,50m
9,신세계푸드 일대(경기도 오산시 대원동 581-13),127.078343E,37.137103N,50m
10,글라스바바 일대,127.068143E,37.148785N,50m
11,롯데슈퍼 사거리 일대,127.046576E,37.177549N,50m
12,오산 왕해물 일대,127.078348E,37.136202N,50m
13,운천초 일대,127.078238E,37.156032N,50m
14,LH 운암마을 아파트 일대,127.076041E,37.146109N,50m
15,IBK기업은행 일대,127.076026E,37.148813N,50m
16,쉐보레 오산전시장 일대,127.073789E,37.146101N,50m
17,교촌치킨 사거리 일대,127.068169E,37.144278N,50m
18,오산 시청 일대,127.076021E,37.149714N,50m
19,이마트 일대,127.071562E,37.141586N,50m
20,운암 주공4단지 아파트 일대,127.074895E,37.149710N,50m
