위험순위 ,시설 번호,시설명/주소지,경도,위도,시설물 종류
1,1,원일초등학교 정문 일대,127.071934E,37.139555N,교차로 횡단보도 과속방지턱
2,1,원동e편한세상1단지 후문 일대,127.070451E,37.138877N,"교차로 주정차 단속, 볼록거울, 속도제한 표지판, 옐로카펫, 노랑발자국"
2,2,원동e편한세상1단지 후문 일대,127.070245E,37.138857N,"옐로카펫,노랑발자국"
2,3,원동e편한세상1단지 후문 일대,127.070134E,37.138800N,"옐로카펫,노랑발자국"
2,4,원동e편한세상1단지 후문 일대,127.070142E,37.138860N,볼록거울
2,5,원동e편한세상1단지 후문 일대,127.070246E,37.138738N,볼록거울
2,6,원동e편한세상1단지 후문 일대, 127.070150E,37.138848N,신호등에 속도제한 표지판
3,1,세교유치원 앞 사거리 일대, 127.044250E,37.176493N,"30km/h 점멸형 속도 제한 표지, 야간 횡단보도 조명"
3,2,세교유치원 앞 사거리 일대,127.044189E,37.176503N,야간 횡단보도 조명
3,3,세교유치원 앞 사거리 일대,127.044236E,37.176563N,야간 횡단보도 조명
3,4,세교유치원 앞 사거리 일대,127.044298E,37.176530N,야간 횡단보도 조명
3,5,세교유치원 앞 사거리 일대,127.044254E,37.176471N,야간 횡단보도 조명
3,6,세교유치원 앞 사거리 일대,127.044173E,37.176555N,신호등에 30km/h 점멸형 속도 제한 표지
3,7,세교유치원 앞 사거리 일대,127.044308E,37.176487N,신호등에 30km/h 점멸형 속도 제한 표지
3,8,세교유치원 앞 사거리 일대,127.044194E,37.176464N,신호등에 30km/h 점멸형 속도 제한 표지
3,9,세교유치원 앞 사거리 일대,127.044172E,37.176555N,신호등에 30km/h 점멸형 속도 제한 표지
4,1,화성등기소 앞 사거리 일대,127.058961E,37.159195N,노랑발자국
5,1,경기 오산시 오산로 75 상가 107호 앞 사거리 일대,127.068974E,37.134090N,중앙분리대 설치(전도로)
6,1,경기 오산시 운암로 63 운암현대아파트 앞 도로,127.076596E,37.153281N,"보행자, 차량확인을 위한 볼록거울"
7,1,오산시 중앙도서관 앞 운산로 일대,127.077223E,37.153794N,중앙분리대 보강(소방서 앞 도로는 제외)
8,1,원동초등학교 앞 사거리 일대,127.068947E,37.135950N,"중앙분리대 보강, 야간 조명 신호등"
9,1,성산새싹길 어린이보호구역 일대,127.065637E,37.149462N,"단방향도로, 인도와 보도 분리 필요, 과속방지턱 설치"
10,1,경기 오산시 오산대역로 214 앞 사거리 일대,127.066019E,37.171121N,"중앙분리대 설치, 미끄럼 방지 시설 설치"
10,2,경기 오산시 오산대역로 214 앞 사거리 일대,127.065956E,37.171379N,"중앙분리대 설치, 미끄럼 방지 시설 설치"
10,3,경기 오산시 오산대역로 214 앞 사거리 일대,127.066156E,37.171222N,"중앙분리대 설치, 미끄럼 방지 시설 설치"
11,1,운암 제1근린공원앞 어린이보호구역 일대,127.077030E,37.156229N,불법주정차 금지지역 지정
11,2,운암 제1근린공원앞 어린이보호구역 일대,127.077055E,37.156152N,해당 지역 신호등 설치
11,3,운암 제1근린공원앞 어린이보호구역 일대,127.077017E,37.156074N,해당 지역 신호등 설치
11,4,운암 제1근린공원앞 어린이보호구역 일대,127.076937E,37.156090N,해당 지역 신호등 설치
11,5,운암 제1근린공원앞 어린이보호구역 일대,127.076954E,37.156169N,해당 지역 신호등 설치
12,1,매홀초등학교 앞 청학로147번길 도로 일대,127.064467E,37.162020N,어린이보호지역임을 알리는 표지판 설치
13,1,오산시네마 앞 원동로37번길,127.070102E,37.146114N,인도와 도로 분리필요
14,1,오산시 갈곳동 현대힐스테이트아파트,127.071864E,37.131767N,인도와 도로 분리필요
15,1,경기 오산시 남부대로 445-4,127.084180E,37.134029N,과속방지턱
16,1,아이사랑어린이집 입구 앞 도로,127.072716E,37.133787N,"옐로카펫, 노랑발자국"
16,2,아이사랑어린이집 입구 앞 도로, 127.072690E,37.133702N,"옐로카펫, 노랑발자국"
17,1,오산시 보건소앞 현충로,127.078690E,37.159154N,중앙분리대
18,1,문시초등학교 여게산로 어린이보호도로,127.044886E,37.174032N,중앙분리대
19,1,성호초 앞 성호새싹길,127.070176E,37.149135N,"단방향도로, 과속방지턱설치"
20,1,이화유치원앞 청학로173번길,127.062416E,37.164057N,미끄럼방지 시설 설치
20,2,이화유치원앞 청학로173번길,127.062263E,37.164160N,미끄럼방지 시설 설치
20,3,이화유치원앞 청학로173번길,127.062145E,37.164013N,미끄럼방지 시설 설치
20,4,이화유치원앞 청학로173번길,127.062301E,37.163958N,미끄럼방지 시설 설치
